DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
04/18/2018 03:12:41 PM,05/01/2006 12:00:00 AM,Arrival,International,Commuter,1477
04/18/2018 03:12:41 PM,12/01/2008 12:00:00 AM,Departure,International,Scheduled Carriers,651688
07/10/2020 06:01:26 AM,04/01/2020 12:00:00 AM,Arrival,Domestic,Charter,63
04/18/2018 03:12:41 PM,03/01/2017 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,2436811
04/18/2018 03:12:41 PM,08/01/2013 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,2229453
04/18/2018 03:12:41 PM,10/01/2010 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1766133
01/10/2021 06:01:37 AM,11/01/2020 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,855015
04/18/2018 03:12:41 PM,01/01/2013 12:00:00 AM,Arrival,International,Scheduled Carriers,719404
08/23/2019 03:41:00 PM,07/01/2019 12:00:00 AM,Departure,International,Scheduled Carriers,1230046
04/18/2018 03:12:41 PM,02/01/2016 12:00:00 AM,Arrival,Domestic,Charter,911
04/18/2018 03:12:41 PM,08/01/2006 12:00:00 AM,Departure,Domestic,Charter,664
04/18/2018 03:12:41 PM,05/01/2007 12:00:00 AM,Arrival,Domestic,Commuter,165973
04/18/2018 03:12:41 PM,12/01/2014 12:00:00 AM,Departure,Domestic,Commuter,705
04/18/2018 03:12:41 PM,10/01/2009 12:00:00 AM,Arrival,International,Scheduled Carriers,608478
12/07/2020 01:58:36 PM,10/01/2020 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,906795
04/18/2018 03:12:41 PM,10/01/2016 12:00:00 AM,Departure,Domestic,Charter,1046
04/18/2018 03:12:41 PM,09/01/2006 12:00:00 AM,Arrival,International,Commuter,1061
04/18/2018 03:12:41 PM,12/01/2007 12:00:00 AM,Arrival,International,Commuter,4531
04/18/2018 03:12:41 PM,08/01/2011 12:00:00 AM,Departure,International,Scheduled Carriers,774166
04/18/2018 03:12:41 PM,10/01/2014 12:00:00 AM,Arrival,Domestic,Charter,1715
01/22/2020 06:57:11 AM,11/01/2019 12:00:00 AM,Departure,Domestic,Charter,653
04/18/2018 03:12:41 PM,08/01/2008 12:00:00 AM,Departure,Domestic,Commuter,153447
04/18/2018 03:12:41 PM,08/01/2008 12:00:00 AM,Departure,International,Charter,417
04/18/2018 03:12:41 PM,02/01/2012 12:00:00 AM,Arrival,Domestic,Charter,584
04/18/2018 03:12:41 PM,07/01/2010 12:00:00 AM,Departure,International,Scheduled Carriers,761545
04/18/2018 03:12:41 PM,07/01/2009 12:00:00 AM,Arrival,International,Scheduled Carriers,749620
04/18/2018 03:12:41 PM,12/01/2007 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1701450
04/18/2018 03:12:41 PM,07/01/2009 12:00:00 AM,Arrival,Domestic,Charter,204
04/18/2018 03:12:41 PM,10/01/2013 12:00:00 AM,Departure,International,Scheduled Carriers,764143
04/18/2018 03:12:41 PM,07/01/2017 12:00:00 AM,Departure,Domestic,Charter,803
04/18/2018 03:12:41 PM,04/01/2012 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1752952
04/18/2018 03:12:41 PM,06/01/2014 12:00:00 AM,Arrival,International,Scheduled Carriers,856290
09/28/2020 04:07:45 PM,08/01/2020 12:00:00 AM,Departure,Domestic,Scheduled Carriers,740599
10/27/2020 08:53:01 AM,09/01/2020 12:00:00 AM,Departure,Domestic,Scheduled Carriers,752076
04/18/2018 03:12:41 PM,06/01/2016 12:00:00 AM,Departure,International,Scheduled Carriers,1069262
04/18/2018 03:12:41 PM,08/01/2010 12:00:00 AM,Arrival,Domestic,Charter,646
04/18/2018 03:12:41 PM,11/01/2011 12:00:00 AM,Arrival,International,Charter,2
04/18/2018 03:12:41 PM,02/01/2008 12:00:00 AM,Departure,International,Commuter,5448
04/18/2018 03:12:41 PM,07/01/2015 12:00:00 AM,Arrival,International,Scheduled Carriers,1073968
04/18/2018 03:12:41 PM,05/01/2008 12:00:00 AM,Departure,Domestic,Charter,348
04/18/2018 03:12:41 PM,04/01/2012 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1759693
04/29/2019 01:10:30 PM,02/01/2019 12:00:00 AM,Arrival,International,Charter,3
04/18/2018 03:12:41 PM,03/01/2014 12:00:00 AM,Arrival,Domestic,Commuter,26687
04/18/2018 03:12:41 PM,05/01/2012 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1854765
04/18/2018 03:12:41 PM,01/01/2012 12:00:00 AM,Departure,International,Scheduled Carriers,695091
04/18/2018 03:12:41 PM,12/01/2007 12:00:00 AM,Arrival,Domestic,Commuter,174755
04/18/2018 03:12:41 PM,01/01/2016 12:00:00 AM,Departure,International,Charter,324
04/18/2018 03:12:41 PM,07/01/2006 12:00:00 AM,Arrival,International,Charter,280
04/18/2018 03:12:41 PM,11/01/2013 12:00:00 AM,Departure,International,Commuter,0
04/18/2018 03:12:41 PM,07/01/2009 12:00:00 AM,Departure,Domestic,Scheduled Carriers,2015898
04/18/2018 03:12:41 PM,07/01/2007 12:00:00 AM,Arrival,International,Charter,2
04/18/2018 03:12:41 PM,05/01/2008 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1752533
04/18/2018 03:12:41 PM,05/01/2008 12:00:00 AM,Arrival,International,Charter,207
04/18/2018 03:12:41 PM,10/01/2017 12:00:00 AM,Departure,Domestic,Commuter,73
